Time_Index,NG,None,coal,uranium
494,2.03,0.00,2.47,0.70
495,2.03,0.00,2.47,0.70
496,2.03,0.00,2.47,0.70
497,2.03,0.00,2.47,0.70
498,2.03,0.00,2.47,0.70
499,2.03,0.00,2.47,0.70
500,2.03,0.00,2.47,0.70
501,2.03,0.00,2.47,0.70
502,2.03,0.00,2.47,0.70
503,2.03,0.00,2.47,0.70
504,2.03,0.00,2.47,0.70
505,2.03,0.00,2.47,0.70
506,2.03,0.00,2.47,0.70
507,2.03,0.00,2.47,0.70
508,2.03,0.00,2.47,0.70
509,2.03,0.00,2.47,0.70
510,2.03,0.00,2.47,0.70
511,2.03,0.00,2.47,0.70
512,2.03,0.00,2.47,0.70
513,2.03,0.00,2.47,0.70
514,2.03,0.00,2.47,0.70
515,2.03,0.00,2.47,0.70
516,2.03,0.00,2.47,0.70
517,2.03,0.00,2.47,0.70
518,2.03,0.00,2.47,0.70
519,2.03,0.00,2.47,0.70
520,2.03,0.00,2.47,0.70
521,2.03,0.00,2.47,0.70
522,2.03,0.00,2.47,0.70
523,2.03,0.00,2.47,0.70
524,2.03,0.00,2.47,0.70
525,2.03,0.00,2.47,0.70
526,2.03,0.00,2.47,0.70
527,2.03,0.00,2.47,0.70
528,2.03,0.00,2.47,0.70
529,2.03,0.00,2.47,0.70
530,2.03,0.00,2.47,0.70
531,2.03,0.00,2.47,0.70
532,2.03,0.00,2.47,0.70
533,2.03,0.00,2.47,0.70
534,2.03,0.00,2.47,0.70
535,2.03,0.00,2.47,0.70
536,2.03,0.00,2.47,0.70
537,2.03,0.00,2.47,0.70
538,2.03,0.00,2.47,0.70
539,2.03,0.00,2.47,0.70
540,2.03,0.00,2.47,0.70
541,2.03,0.00,2.47,0.70
542,2.03,0.00,2.47,0.70
543,2.03,0.00,2.47,0.70
544,2.03,0.00,2.47,0.70
545,2.03,0.00,2.47,0.70
546,2.03,0.00,2.47,0.70
547,2.03,0.00,2.47,0.70
548,2.03,0.00,2.47,0.70
549,2.03,0.00,2.47,0.70
550,2.03,0.00,2.47,0.70
551,2.03,0.00,2.47,0.70
552,2.03,0.00,2.47,0.70
553,2.03,0.00,2.47,0.70
554,2.03,0.00,2.47,0.70
555,2.03,0.00,2.47,0.70
556,2.03,0.00,2.47,0.70
557,2.03,0.00,2.47,0.70
558,2.03,0.00,2.47,0.70
559,2.03,0.00,2.47,0.70
560,2.03,0.00,2.47,0.70
561,2.03,0.00,2.47,0.70
562,2.03,0.00,2.47,0.70
563,2.03,0.00,2.47,0.70
564,2.03,0.00,2.47,0.70
565,2.03,0.00,2.47,0.70
566,2.03,0.00,2.47,0.70
567,2.03,0.00,2.47,0.70
568,2.03,0.00,2.47,0.70
569,2.03,0.00,2.47,0.70
570,2.03,0.00,2.47,0.70
571,2.03,0.00,2.47,0.70
572,2.03,0.00,2.47,0.70
573,2.03,0.00,2.47,0.70
574,2.03,0.00,2.47,0.70
575,2.03,0.00,2.47,0.70
576,2.03,0.00,2.47,0.70
577,2.03,0.00,2.47,0.70
578,2.03,0.00,2.47,0.70
579,2.03,0.00,2.47,0.70
580,2.03,0.00,2.47,0.70
581,2.03,0.00,2.47,0.70
582,2.03,0.00,2.47,0.70
583,2.03,0.00,2.47,0.70
584,2.03,0.00,2.47,0.70
585,2.03,0.00,2.47,0.70
586,2.03,0.00,2.47,0.70
587,2.03,0.00,2.47,0.70
588,2.03,0.00,2.47,0.70
589,2.03,0.00,2.47,0.70
590,2.03,0.00,2.47,0.70
591,2.03,0.00,2.47,0.70
592,2.03,0.00,2.47,0.70
593,2.03,0.00,2.47,0.70
594,2.03,0.00,2.47,0.70
595,2.03,0.00,2.47,0.70
596,2.03,0.00,2.47,0.70
597,2.03,0.00,2.47,0.70
598,2.03,0.00,2.47,0.70
599,2.03,0.00,2.47,0.70
600,2.03,0.00,2.47,0.70
601,2.03,0.00,2.47,0.70
602,2.03,0.00,2.47,0.70
603,2.03,0.00,2.47,0.70
604,2.03,0.00,2.47,0.70
605,2.03,0.00,2.47,0.70
606,2.03,0.00,2.47,0.70
607,2.03,0.00,2.47,0.70
608,2.03,0.00,2.47,0.70
609,2.03,0.00,2.47,0.70
610,2.03,0.00,2.47,0.70
611,2.03,0.00,2.47,0.70
612,2.03,0.00,2.47,0.70
613,2.03,0.00,2.47,0.70
614,2.03,0.00,2.47,0.70
615,2.03,0.00,2.47,0.70
616,2.03,0.00,2.47,0.70
617,2.03,0.00,2.47,0.70
618,2.03,0.00,2.47,0.70
619,2.03,0.00,2.47,0.70
620,2.03,0.00,2.47,0.70
621,2.03,0.00,2.47,0.70
622,2.03,0.00,2.47,0.70
623,2.03,0.00,2.47,0.70
624,2.03,0.00,2.47,0.70
625,2.03,0.00,2.47,0.70
626,2.03,0.00,2.47,0.70
627,2.03,0.00,2.47,0.70
628,2.03,0.00,2.47,0.70
629,2.03,0.00,2.47,0.70
630,2.03,0.00,2.47,0.70
631,2.03,0.00,2.47,0.70
632,2.03,0.00,2.47,0.70
633,2.03,0.00,2.47,0.70
634,2.03,0.00,2.47,0.70
635,2.03,0.00,2.47,0.70
636,2.03,0.00,2.47,0.70
637,2.03,0.00,2.47,0.70
